,date,homepage_count,searchpage_count,payment_page_count,payment_confirmation_count
0,2015-01-01,712,436,76,6
1,2015-01-02,721,447,84,5
2,2015-01-03,760,422,64,7
3,2015-01-04,713,447,76,7
4,2015-01-05,754,462,88,11
5,2015-01-06,742,445,67,9
6,2015-01-07,694,404,55,4
7,2015-01-08,714,409,64,5
8,2015-01-09,713,406,76,4
9,2015-01-10,730,449,77,7
10,2015-01-11,740,446,79,7
11,2015-01-12,741,448,75,6
12,2015-01-13,693,421,76,1
13,2015-01-14,758,454,78,6
14,2015-01-15,735,435,74,7
15,2015-01-16,723,428,81,5
16,2015-01-17,719,442,77,5
17,2015-01-18,668,422,62,5
18,2015-01-19,788,463,105,10
19,2015-01-20,715,421,78,7
20,2015-01-21,760,445,87,7
21,2015-01-22,737,430,79,5
22,2015-01-23,720,429,79,9
23,2015-01-24,719,427,74,3
24,2015-01-25,782,473,94,8
25,2015-01-26,686,402,76,6
26,2015-01-27,761,453,77,4
27,2015-01-28,725,448,86,8
28,2015-01-29,759,471,79,5
29,2015-01-30,697,417,64,4
30,2015-01-31,721,452,83,6
31,2015-02-01,828,519,93,7
32,2015-02-02,845,511,88,7
33,2015-02-03,802,457,93,8
34,2015-02-04,785,486,79,4
35,2015-02-05,819,493,91,6
36,2015-02-06,799,492,73,6
37,2015-02-07,846,506,78,9
38,2015-02-08,877,535,100,6
39,2015-02-09,803,486,94,10
40,2015-02-10,782,485,82,5
41,2015-02-11,782,460,77,5
42,2015-02-12,802,485,87,4
43,2015-02-13,786,476,81,1
44,2015-02-14,775,456,78,10
45,2015-02-15,835,506,93,4
46,2015-02-16,771,456,86,7
47,2015-02-17,804,491,96,10
48,2015-02-18,794,479,92,3
49,2015-02-19,767,463,96,7
50,2015-02-20,822,498,91,3
51,2015-02-21,829,513,80,7
52,2015-02-22,825,504,76,6
53,2015-02-23,811,488,80,6
54,2015-02-24,759,462,97,11
55,2015-02-25,830,508,79,5
56,2015-02-26,812,488,85,6
57,2015-02-27,792,468,89,3
58,2015-02-28,818,516,78,7
59,2015-03-01,722,283,19,0
60,2015-03-02,747,286,17,2
61,2015-03-03,731,293,16,3
62,2015-03-04,700,265,27,4
63,2015-03-05,711,268,19,0
64,2015-03-06,734,275,22,2
65,2015-03-07,727,298,30,2
66,2015-03-08,746,288,23,1
67,2015-03-09,743,317,20,1
68,2015-03-10,751,283,17,0
69,2015-03-11,733,284,35,1
70,2015-03-12,705,295,18,3
71,2015-03-13,741,275,28,1
72,2015-03-14,706,288,20,1
73,2015-03-15,720,287,28,3
74,2015-03-16,729,298,17,2
75,2015-03-17,752,307,23,0
76,2015-03-18,702,264,18,1
77,2015-03-19,684,272,17,3
78,2015-03-20,752,300,22,3
79,2015-03-21,698,280,14,0
80,2015-03-22,739,308,16,0
81,2015-03-23,769,299,17,1
82,2015-03-24,724,281,16,2
83,2015-03-25,755,313,23,0
84,2015-03-26,732,283,23,1
85,2015-03-27,693,265,15,2
86,2015-03-28,728,274,13,1
87,2015-03-29,726,263,16,1
88,2015-03-30,777,311,15,1
89,2015-03-31,723,276,27,2
90,2015-04-01,769,285,27,2
91,2015-04-02,735,268,13,1
92,2015-04-03,782,305,20,3
93,2015-04-04,775,317,27,3
94,2015-04-05,722,295,20,3
95,2015-04-06,760,317,17,3
96,2015-04-07,769,301,24,2
97,2015-04-08,806,317,22,1
98,2015-04-09,737,291,22,5
99,2015-04-10,757,331,14,0
100,2015-04-11,745,295,17,1
101,2015-04-12,704,264,22,2
102,2015-04-13,732,313,27,1
103,2015-04-14,699,285,19,1
104,2015-04-15,775,326,24,1
105,2015-04-16,729,291,18,0
106,2015-04-17,756,311,21,1
107,2015-04-18,739,286,11,0
108,2015-04-19,783,315,13,1
109,2015-04-20,720,315,21,2
110,2015-04-21,754,287,20,3
111,2015-04-22,750,326,19,2
112,2015-04-23,753,310,17,1
113,2015-04-24,762,283,11,2
114,2015-04-25,766,324,24,1
115,2015-04-26,792,307,25,1
116,2015-04-27,779,311,26,1
117,2015-04-28,736,304,25,1
118,2015-04-29,713,271,10,0
119,2015-04-30,801,329,21,1
